Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
Q9NYL2,M3K20_HUMAN,Mitogen-activated protein kinase kinase kinase 20 ,MAP3K20,MLTK ZAK,TKL,800,"91,155",Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)
Q5TCX8,M3K21_HUMAN,Mitogen-activated protein kinase kinase kinase 21 ,MAP3K21,KIAA1804 MLK4,TKL,1036,"113,957",Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)
Q99759,M3K3_HUMAN,Mitogen-activated protein kinase kinase kinase 3 ,MAP3K3,MAPKKK3 MEKK3,STE,626,"70,898",Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3)
Q9Y6R4,M3K4_HUMAN,Mitogen-activated protein kinase kinase kinase 4 ,MAP3K4,KIAA0213 MAPKKK4 MEKK4 MTK1,STE,1608,"181,685",Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)
Q99683,M3K5_HUMAN,Mitogen-activated protein kinase kinase kinase 5 ,MAP3K5,ASK1 MAPKKK5 MEKK5,STE,1374,"154,537",Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)
O95382,M3K6_HUMAN,Mitogen-activated protein kinase kinase kinase 6 ,MAP3K6,ASK2 MAPKKK6 MEKK6,STE,1288,"142,596",Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)
O43318,M3K7_HUMAN,Mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,TAK1,TKL,606,"67,196",Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)
P41279,M3K8_HUMAN,Mitogen-activated protein kinase kinase kinase 8 ,MAP3K8,COT ESTF,STE,467,"52,925",Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)
P80192,M3K9_HUMAN,Mitogen-activated protein kinase kinase kinase 9 ,MAP3K9,MLK1 PRKE1,TKL,1104,"121,895",Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)
Q92918,M4K1_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 1 ,MAP4K1,HPK1,STE,833,"91,296",Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)
Q12851,M4K2_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 2 ,MAP4K2,GCK RAB8IP,STE,820,"91,556",Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)
Q8IVH8,M4K3_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 3 ,MAP4K3,RAB8IPL1,STE,894,"101,316",Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)
O95819,M4K4_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 4 ,MAP4K4,HGK KIAA0687 NIK,STE,1239,"142,101",Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)
Q9Y4K4,M4K5_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 5 ,MAP4K5,,STE,846,"95,024",Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5)
P28482,MK01_HUMAN,Mitogen-activated protein kinase 1 ,MAPK1,ERK2 PRKM1 PRKM2,CMGC,360,"41,390",Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)
P53779,MK10_HUMAN,Mitogen-activated protein kinase 10 ,MAPK10,JNK3 JNK3A PRKM10 SAPK1B,CMGC,464,"52,585",Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10) (EC 2.7.11.24) (MAP kinase p49 3F12) (Stress-activated protein kinase 1b) (SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3)
Q15759,MK11_HUMAN,Mitogen-activated protein kinase 11 ,MAPK11,PRKM11 SAPK2 SAPK2B,CMGC,364,"41,357",Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)
P53778,MK12_HUMAN,Mitogen-activated protein kinase 12 ,MAPK12,ERK6 SAPK3,CMGC,367,"41,940",Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)
O15264,MK13_HUMAN,Mitogen-activated protein kinase 13 ,MAPK13,PRKM13 SAPK4,CMGC,365,"42,090",Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)
Q16539,MK14_HUMAN,Mitogen-activated protein kinase 14 ,MAPK14,CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A,CMGC,360,"41,293",Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)
Q8TD08,MK15_HUMAN,Mitogen-activated protein kinase 15 ,MAPK15,ERK7 ERK8,CMGC,544,"59,832",Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)
P27361,MK03_HUMAN,Mitogen-activated protein kinase 3 ,MAPK3,ERK1 PRKM3,CMGC,379,"43,136",Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)
P31152,MK04_HUMAN,Mitogen-activated protein kinase 4 ,MAPK4,ERK4 PRKM4,CMGC,587,"65,922",Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)
Q16659,MK06_HUMAN,Mitogen-activated protein kinase 6 ,MAPK6,ERK3 PRKM6,CMGC,721,"82,681",Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK)
Q13164,MK07_HUMAN,Mitogen-activated protein kinase 7 ,MAPK7,BMK1 ERK5 PRKM7,CMGC,816,"88,386",Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)
P45983,MK08_HUMAN,Mitogen-activated protein kinase 8 ,MAPK8,JNK1 PRKM8 SAPK1 SAPK1C,CMGC,427,"48,296",Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)
P45984,MK09_HUMAN,Mitogen-activated protein kinase 9 ,MAPK9,JNK2 PRKM9 SAPK1A,CMGC,424,"48,139",Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)
P49137,MAPK2_HUMAN,MAP kinase-activated protein kinase 2 ,MAPKAPK2,,CAMK,400,"45,568",MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)
Q16644,MAPK3_HUMAN,MAP kinase-activated protein kinase 3 ,MAPKAPK3,,CAMK,382,"42,987",MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK)
Q8IW41,MAPK5_HUMAN,MAP kinase-activated protein kinase 5 ,MAPKAPK5,PRAK,CAMK,473,"54,220",MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5) (EC 2.7.11.1) (p38-regulated/activated protein kinase) (PRAK)
Q9P0L2,MARK1_HUMAN,Serine/threonine-protein kinase MARK1 ,MARK1,KIAA1477 MARK,CAMK,795,"89,003",Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)
Q7KZI7,MARK2_HUMAN,Serine/threonine-protein kinase MARK2 ,MARK2,EMK1,CAMK,788,"87,911",Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)
P27448,MARK3_HUMAN,MAP/microtubule affinity-regulating kinase 3 ,MARK3,CTAK1 EMK2,CAMK,753,"84,429",MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)
Q96L34,MARK4_HUMAN,MAP/microtubule affinity-regulating kinase 4 ,MARK4,KIAA1860 MARKL1,CAMK,752,"82,520",MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)
Q9Y2H9,MAST1_HUMAN,Microtubule-associated serine/threonine-protein kinase 1 ,MAST1,KIAA0973 SAST,AGC,1570,"170,677",Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)
Q6P0Q8,MAST2_HUMAN,Microtubule-associated serine/threonine-protein kinase 2 ,MAST2,KIAA0807 MAST205,AGC,1798,"196,436",Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)
O60307,MAST3_HUMAN,Microtubule-associated serine/threonine-protein kinase 3 ,MAST3,KIAA0561,AGC,1309,"143,137",Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1)
O15021,MAST4_HUMAN,Microtubule-associated serine/threonine-protein kinase 4 ,MAST4,KIAA0303,AGC,2623,"284,097",Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1)
Q96GX5,GWL_HUMAN,Serine/threonine-protein kinase greatwall ,MASTL,GW GWL THC2,AGC,879,"97,319",Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)
P42679,MATK_HUMAN,Megakaryocyte-associated tyrosine-protein kinase ,MATK,CTK HYL,TK,507,"56,469",Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)
Q14680,MELK_HUMAN,Maternal embryonic leucine zipper kinase ,MELK,KIAA0175,CAMK,651,"74,642",Maternal embryonic leucine zipper kinase (hMELK) (EC 2.7.11.1) (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2)
Q12866,MERTK_HUMAN,Tyrosine-protein kinase Mer ,MERTK,MER,TK,999,"110,249",Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)
P08581,MET_HUMAN,Hepatocyte growth factor receptor ,MET,,TK,1390,"155,541",Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
Q8N4C8,MINK1_HUMAN,Misshapen-like kinase 1 ,MINK1,B55 MAP4K6 MINK YSK2 ZC3,STE,1332,"149,822",Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)
Q9BUB5,MKNK1_HUMAN,MAP kinase-interacting serine/threonine-protein kinase 1 ,MKNK1,MNK1,CAMK,465,"51,342",MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)
Q9HBH9,MKNK2_HUMAN,MAP kinase-interacting serine/threonine-protein kinase 2 ,MKNK2,GPRK7 MNK2,CAMK,465,"51,875",MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2)
Q9UQ07,MOK_HUMAN,MAPK/MAK/MRK overlapping kinase ,MOK,RAGE RAGE1,CMGC,419,"48,014",MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)
P00540,MOS_HUMAN,Proto-oncogene serine/threonine-protein kinase mos ,MOS,,Other,346,"37,820",Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)
Q04912,RON_HUMAN,Macrophage-stimulating protein receptor ,MST1R,PTK8 RON,TK,1400,"152,241",Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]
P42345,MTOR_HUMAN,Serine/threonine-protein kinase mTOR ,MTOR,FRAP FRAP1 FRAP2 RAFT1 RAPT1,Atypical,2549,"288,892",Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)
O15146,MUSK_HUMAN,"Muscle, skeletal receptor tyrosine-protein kinase ",MUSK,,TK,869,"97,056","Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)"
Q03426,KIME_HUMAN,Mevalonate kinase ,MVK,,,396,"42,451",Mevalonate kinase (MK) (EC 2.7.1.36)
Q15746,MYLK_HUMAN,"Myosin light chain kinase, smooth muscle ",MYLK,MLCK MLCK1 MYLK1,CAMK,1914,"210,715","Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]"
Q9H1R3,MYLK2_HUMAN,"Myosin light chain kinase 2, skeletal/cardiac muscle ",MYLK2,,CAMK,596,"64,685","Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)"
Q32MK0,MYLK3_HUMAN,Myosin light chain kinase 3 ,MYLK3,MLCK,CAMK,819,"88,393",Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)
Q86YV6,MYLK4_HUMAN,Myosin light chain kinase family member 4 ,MYLK4,SGK085,CAMK,388,"44,508",Myosin light chain kinase family member 4 (EC 2.7.11.1) (Sugen kinase 85) (SgK085)
Q8NEV4,MYO3A_HUMAN,Myosin-IIIa ,MYO3A,,STE,1616,"186,208",Myosin-IIIa (EC 2.7.11.1)
Q8WXR4,MYO3B_HUMAN,Myosin-IIIb ,MYO3B,,STE,1341,"151,829",Myosin-IIIb (EC 2.7.11.1)
O95544,NADK_HUMAN,NAD kinase ,NADK,,,446,"49,228",NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)
Q4G0N4,NAKD2_HUMAN,"NAD kinase 2, mitochondrial ",NADK2,C5orf33 MNADK NADKD1,,442,"49,433","NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)"
Q9UJ70,NAGK_HUMAN,N-acetyl-D-glucosamine kinase ,NAGK,,,344,"37,376",N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase)
Q96PY6,NEK1_HUMAN,Serine/threonine-protein kinase Nek1 ,NEK1,KIAA1901,Other,1258,"142,828",Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)
Q6ZWH5,NEK10_HUMAN,Serine/threonine-protein kinase Nek10 ,NEK10,,Other,1172,"133,259",Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)
Q8NG66,NEK11_HUMAN,Serine/threonine-protein kinase Nek11 ,NEK11,,Other,645,"74,192",Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)
P51955,NEK2_HUMAN,Serine/threonine-protein kinase Nek2 ,NEK2,NEK2A NLK1,Other,445,"51,763",Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)
P51956,NEK3_HUMAN,Serine/threonine-protein kinase Nek3 ,NEK3,,Other,506,"57,705",Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)
P51957,NEK4_HUMAN,Serine/threonine-protein kinase Nek4 ,NEK4,STK2,Other,841,"94,597",Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)
Q6P3R8,NEK5_HUMAN,Serine/threonine-protein kinase Nek5 ,NEK5,,Other,708,"81,445",Serine/threonine-protein kinase Nek5 (EC 2.7.11.1) (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)
Q9HC98,NEK6_HUMAN,Serine/threonine-protein kinase Nek6 ,NEK6,,Other,313,"35,714",Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)
Q8TDX7,NEK7_HUMAN,Serine/threonine-protein kinase Nek7 ,NEK7,,Other,302,"34,551",Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)
Q86SG6,NEK8_HUMAN,Serine/threonine-protein kinase Nek8 ,NEK8,JCK NEK12A,Other,692,"74,806",Serine/threonine-protein kinase Nek8 (EC 2.7.11.1) (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8) (Nima-related protein kinase 12a)
Q8TD19,NEK9_HUMAN,Serine/threonine-protein kinase Nek9 ,NEK9,KIAA1995 NEK8 NERCC,Other,979,"107,168",Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)
Q8IY84,NIM1_HUMAN,Serine/threonine-protein kinase NIM1 ,NIM1K,NIM1,CAMK,436,"49,606",Serine/threonine-protein kinase NIM1 (EC 2.7.11.1) (NIM1 serine/threonine-protein kinase)
Q9UBE8,NLK_HUMAN,Serine/threonine-protein kinase NLK ,NLK,LAK1,CMGC,527,"58,283",Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)
P15531,NDKA_HUMAN,Nucleoside diphosphate kinase A ,NME1,NDPKA NM23,,152,"17,149",Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)
P22392,NDKB_HUMAN,Nucleoside diphosphate kinase B ,NME2,NM23B,,152,"17,298",Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)
O60361,NDK8_HUMAN,Putative nucleoside diphosphate kinase ,NME2P1,,,137,"15,529",Putative nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)
Q13232,NDK3_HUMAN,Nucleoside diphosphate kinase 3 ,NME3,,,169,"19,015",Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3)
O00746,NDKM_HUMAN,"Nucleoside diphosphate kinase, mitochondrial ",NME4,NM23D,,187,"20,659","Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)"
O75414,NDK6_HUMAN,Nucleoside diphosphate kinase 6 ,NME6,,,186,"21,142",Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6) (Inhibitor of p53-induced apoptosis-alpha) (IPIA-alpha) (nm23-H6)
Q9Y5B8,NDK7_HUMAN,Nucleoside diphosphate kinase 7 ,NME7,,,376,"42,492",Nucleoside diphosphate kinase 7 (NDK 7) (NDP kinase 7) (EC 2.7.4.6) (nm23-H7)
Q9NWW6,NRK1_HUMAN,Nicotinamide riboside kinase 1 ,NMRK1,C9orf95 NRK1,,199,"23,193",Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)
Q9NPI5,NRK2_HUMAN,Nicotinamide riboside kinase 2 ,NMRK2,ITGB1BP3 NRK2,,230,"26,046",Nicotinamide riboside kinase 2 (NRK 2) (NmR-K 2) (EC 2.7.1.22) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (EC 2.7.1.173) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2)
Q5SY16,NOL9_HUMAN,Polynucleotide 5'-hydroxyl-kinase NOL9 ,NOL9,,,702,"79,323",Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9)
Q7Z2Y5,NRK_HUMAN,Nik-related protein kinase ,NRK,,STE,1582,"178,479",Nik-related protein kinase (EC 2.7.11.1)
P04629,NTRK1_HUMAN,High affinity nerve growth factor receptor ,NTRK1,MTC TRK TRKA,TK,796,"87,497",High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)
Q16620,NTRK2_HUMAN,BDNF/NT-3 growth factors receptor ,NTRK2,TRKB,TK,822,"91,999",BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B)
Q16288,NTRK3_HUMAN,NT-3 growth factor receptor ,NTRK3,TRKC,TK,839,"94,428",NT-3 growth factor receptor (EC 2.7.10.1) (GP145-TrkC) (Trk-C) (Neurotrophic tyrosine kinase receptor type 3) (TrkC tyrosine kinase)
O60285,NUAK1_HUMAN,NUAK family SNF1-like kinase 1 ,NUAK1,ARK5 KIAA0537 OMPHK1,CAMK,661,"74,305",NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)
Q9H093,NUAK2_HUMAN,NUAK family SNF1-like kinase 2 ,NUAK2,OMPHK2 SNARK,CAMK,628,"69,612",NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)
Q5VST9,OBSCN_HUMAN,Obscurin ,OBSCN,KIAA1556 KIAA1639,CAMK,7968,"868,484",Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)
O95747,OXSR1_HUMAN,Serine/threonine-protein kinase OSR1 ,OXSR1,KIAA1101 OSR1,STE,527,"58,022",Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)
Q13153,PAK1_HUMAN,Serine/threonine-protein kinase PAK 1 ,PAK1,,STE,545,"60,647",Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)
Q13177,PAK2_HUMAN,Serine/threonine-protein kinase PAK 2 ,PAK2,,STE,524,"58,043",Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]
